breed,description
affenpinscher,affen’s apish look described many ways they’ve called “monkey dogs” “ape terriers” french say diablotin moustachu “mustached little devil” star wars fans argue whether look like wookies ewoksstanding less foot tall sturdy terrierlike dogs approach life great confidence “this isn’t breed train” professional dog handler tells us “he’s like human befriend him” dense harsh coat described “neat shaggy” comes several colors gait light confident willful domineering mostly affens loyal affectionate always entertaining affen people say love owned little monkey dogs affenpinscher loyal curious famously amusing almosthuman toy dog fearless proportion size great comedians it’s affenpinscher’s apparent seriousness purpose makes antics amusing confident famously funny fearless toy 23 times week brushing seasonal regular exercise easy training outgoing medium short light
afghan hound,afghan hound ancient breed whole appearance one dignity aloofness – eyes gazing distance memory ages past intelligent independent mind whole appearance one dignity style devoted loyal charming lively personality afghan hound athlete capable immense speed requires large fenced yard exercise dailysince ancient times afghan hounds famous elegant beauty thick silky flowing coat breed’s crowning glory isn’t show — served protection harsh climate mountainous regions afghans originally earned keep beneath afghan’s glamorous exterior powerful agile hound — standing high 27 inches shoulder — built long day’s hunt huge pawpads acted shock absorbers homeland’s punishing terrainthe afghan hound special breed special people breed expert writes “it’s breed wouldbe dog owners dog owner combination right animal equal afghan hound pet” afghan hound aloof dignified aristocrat sublime beauty despite regal appearance known profound loyalty sensitive nature absolute love calls dignified profoundly loyal aristocratic hound daily brushing infrequent energetic may stubborn aloofwary medium tall light
airedale terrier,airedale terrier largest terrier breeds males stand 23 inches shoulder females little less dense wiry coat tan black markings long muscular legs give airedales regal lift bearing long head—with sporty beard mustache dark eyes neatly folded ears—conveys keen intelligence airedales picture alert willing terrier—only bigger like smaller cousins terrier family bold determined stubborn airedales docile patient kids won’t back protecting hearth home thanks famous doitall attitude airedales excel kinds sports family activities size strength unflagging spirit earned airedale terrier nickname “the king terriers” airedale stands among world’s versatile dog breeds distinguished hunter athlete companion friendly clever courageous terrier 23 times week brushing occasional regular exercise eager please friendly medium medium light
akita,akitas burly heavyboned spitztype dogs imposing stature standing 24 28 inches shoulder akitas dense coat comes several colors including white head broad massive balanced rear full curledover tail erect ears dark shining eyes contribute expression alertness hallmark breedakitas quiet fastidious dogs wary strangers often intolerant animals akitas gladly share silly affectionate side family friends thrive human companionship large independentthinking akita hardwired protecting love must well socialized birth people dogs akitas muscular doublecoated dogs ancient japanese lineage famous dignity courage loyalty native land venerated family protectors symbols good health happiness long life courageous dignified profoundly loyal working daily brushing seasonal energetic eager please alertresponsive medium tall medium
alaskan malamute,alaskan malamute stands 23 25 inches shoulder weighs 75 85 pounds everything mals suggests origin arctic sled dog heavy bone deep chest powerful shoulders dense weatherproof coat scream “i work hard living” almondshaped brown eyes affectionate sparkle suggesting mals enjoy snuggling humans workday done mals pack animals family “pack” leader must mal doesn’t respect wind owning instead way around firm loving training begin early puppyhood said wellbehaved mal joy with—playful gentle friendly great kids immensely strong heavyduty worker spitz type alaskan malamute affectionate loyal playful dignified dog recognizable wellfurred plumed tail carried back erect ears substantial bone affectionate loyal playful working 23 times week brushing seasonal energetic independent friendly medium medium light
american bulldog,american bulldog descendant english bulldog believed bulldog america early 17th century came united states 1800s immigrants brought working bulldogs small farmers ranchers used allaround working dog many tasks including farm guardians stock dogs catch dogs breed largely survived particularly southern states due ability bring catch feral pigsthe breed know american bulldog originally known many different names name american bulldog became standard different parts south known white english southern bulldog commonly “bulldog” breed called bulldog certain look real bulldog work breed contact informationkatrina huffmasterphone 8505193089 american bulldogs wellbalanced athletic dog demonstrate great strength endurance agility friendly attitude historically bred utility dog used working farm loyal selfconfident foundation stock service occasional bathbrush seasonal energetic agreeable alertresponsive medium medium light
american english coonhound,standing high 26 inches shoulder american english coonhounds deepchested sweetfaced athletes beloved sportsmen speed endurance stretched tightly across athletic frame mediumlength coat various patterns ticking head broad domed skull soft lowhung ears darkbrown eyes glow warmth kindnessamerican english coonhounds mellow duty tenacious stubborn pursuit ringtailed prey work drive energy patience takes train things coon hunting loud ringing bark make breed bad fit house pets novice owners passionate fans american english coonhounds feel without sporting outlet breed’s houndy virtues you’re simply wasting good dog sleek racy lean muscular hounds work dusk dawn pursuit wily raccoon sight american english coonhound tearing moonlit woods sinew determination bawling lusty night music coonhunter heaven sweet mellow sociable hound occasional bathbrush occasional energetic agreeable alertresponsive medium tall light
american eskimo dog,american eskimo dog comes three sizes—standard miniature toy—standing tall 19 inches shoulder short 9 inches distinctive traits include dense sparkling white coat lionlike ruff around chest shoulders smiling face black nose lips eyerims convey keen intelligent expression plumed tail carried back eskies markings delicious color name “biscuit cream” move bold agile gaiteskies social animals develop problem behaviors neglected undertrained—they insist part family life among trainable breeds clever kidfriendly eskie practically invented phrase “eager please” american eskimo dog combines striking good looks quick clever mind total brainsandbeauty package neither shy aggressive eskies always alert friendly though bit conservative making new friends playful perky smart nonsporting weekly brushing seasonal energetic eager please outgoing medium short light
american foxhound,american foxhounds sleek rangy hunters known speed endurance work ethic tell american foxhound apart british cousin english foxhound length leg—the american’s legs longer finely boned—and american’s slightly arched loin back end american foxhounds large soft eyes expression described gentle pleadingso far good foxhounds come special considerations need lots exercise get depressed destructive foxhound’s singleminded prey drive must managed loud bawling melodious hound lovers nuisance neighbors training housebreaking independent souls steep challenge novice owners american foxhounds goodnatured lowmaintenance hounds get well kids dogs even cats come special considerations prospective owners closely associated revolutionary heroes rolling estates old virginia independent easygoing sweettempered hound occasional bathbrush seasonal energetic independent friendly medium medium light
american hairless terrier,american hairless terrier stands 12 16 inches shoulder comes coated hairless varieties hairless variety might eyebrows whiskers coated short shiny coat skin hairless smooth warm touch broad wedgeshaped head hallmark varieties erect vshaped ears frame round expressive eyes gleam curiositythe american hairless moves jaunty pep step announces real terrier attitude hairless variety hypoallergenic dog get hairlessness though presents challenges sunburn concern cold weather requires special precautions breed protective humans make alert watchdogs american hairless terrier louisiana native smart inquisitive playful dog comes hairless coated varieties fine choice allergy sufferers want dog true terrier grit courage energetic alert curious terrier nan nan nan nan nan medium short light
american leopard hound,american leopard hound medium large size dog comes three patterns solid leopard brindle nine different official colors variety markings however sixty percent american leopards solidcolored dogs breed versatile hunting variety game species including limited raccoon bear bobcat cougar squirrel treeminded game especially tough breed also fare exceptionally well extreme weather hot cold american leopard officially organized named american leopard cur 1960 changed breed club members american leopard hound may 1 2008 years coming american kennel club breed contactname jackie carpenteremail plottdogyahoocom intelligence one american leopard hounds best attributes breed loving affectionate toward family extremely protective children american leopards one oldest tree dog breeds us extremely strong tracking abilities often able track prey miles sociable energetic intelligent foundation stock service weekly brushing seasonal energetic eager please alertresponsive medium medium light
american staffordshire terrier,amstaffs stocky muscular bulltype terriers standing 17 19 inches shoulder head broad jaws well defined cheekbones pronounced dark round eyes set wide apart amstaff movement agile graceful springy gait advertises breed’s innate confidence stiff glossy coat comes many colors patterns amstaffers describe dogs keenly aware surroundings game anything lovable “personality dogs” around house amstaffs like mental physical challenges highly trainable many forays showbiz suggest acquiring amstaff there’s one way go homework find responsible akc breeder american staffordshire terrier known fans amstaffs smart confident goodnatured companions courage proverbial responsibly bred wellsocialized amstaff loyal trustworthy friend end confident smart goodnatured terrier occasional bathbrush occasional regular exercise agreeable alertresponsive medium medium light
american water spaniel,american water spaniels muscular midsize gundogs flashy looks performance recognizable luscious brown coat either tightly curled wavy bred work icy waters marshy banks great lakes region spaniels ideally outfitted job coat dense waterproof feet thickly padded toes webbed body small enough dog hop skiff without rocking boat breed’s admirers describe merry intelligent versatile spaniel suited variety dog sports hunters combine working traits spaniels retrievers key american water spaniel’s happiness activity especially alongside adored human underemployed dog barky destructive american water spaniel native lake country upper midwest upbeat outdoorsy athlete loves hunt swim known happy eager charming though aloof strangers bit stubborn eager happy charming sporting 23 times week brushing infrequent regular exercise eager please friendly medium medium light
anatolian shepherd dog,anatolian shepherd dog stands 27 29 inches shoulder weigh much 150 pounds profusely muscled nimble afoot anatolians match predators harsh terrain homeland anatolians descend oldest known domesticcanine bloodlines lends breed sense timelessness nofrills untouched quality takes us back 6000 years bronze ageanatolians smart devoted responsive adaptable protect flock—livestock children smaller dogs even family cat—with intensity anatolian owners must strong leaders willing able handle dog dominating demanding calm loving anatolian shepherd dog rugged imposing flock guardian ancient lineage protective territorial also intelligent patient profoundly loyal muscular avengers prized working guard dogs without equal loyal independent reserved working weekly brushing seasonal regular exercise independent reserved strangers medium tall medium
appenzeller sennenhund,appenzeller sennenhund also known appenzeller mountain dog appenzell cattle dog lively highspirited selfassured reliable fearless slightly suspicious strangers good watchdog cannot bribed breed’s intelligence make highly capable learners due personality exercise needs illsuited apartment living appenzeller sennenhund tricolor mediumsized almost squarely built balanced muscular agile makes good driving watch guard house farm dog due versatility willingness excel agility obedience herding search rescue agile versatile lively foundation stock service weekly brushing regularly needs lots activity may stubborn reserved strangers medium medium light
australian cattle dog,standing 17 20 inches shoulder australian cattle dog sturdy hardmuscled herder strength agility acd born white coat turns bluegray red coat varieties feature distinctive mottling specking patterns acds immense work drive excel hunting chasing course moving livestock boundless energy supple gait make excellent running partnersacds trueblue loyal famously smart ever alert wary strangers acd isn’t challenged easily becomes bored gets mischief recommended acd owners participate dog work sport regular exercise keep mentally physically fit compact muscular australian cattle dog also called blue heeler queensland heeler related australia’s famous wild dog dingo resilient herders intelligent enough routinely outsmart owners alert curious pleasant herding occasional bathbrush regularly needs lots activity may stubborn reserved strangers medium medium light
